Gene_ID,TS1,TS2,TS3,TS4,TS5,TS6,TS8,TS9,TS10,TS11,TS12,TS13,TS14,TS15,TS16,TS18,TS19,TS20,TS21,TS22,TS23,TS25,TS27
ENSMUSG00000000001,4,0,3,0,0,0,1,0,0,0,0,1,1,0,0,0,0,3,0,0,0,6,1
ENSMUSG00000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000028,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSMUSG00000000031,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
ENSMUSG00000000037,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000000049,2,19,28,16,5,18,29,8,13,6,32,28,11,0,21,28,5,36,0,20,11,46,23
ENSMUSG00000000056,2,2,5,1,5,2,7,0,0,0,0,2,1,0,0,4,0,0,0,1,2,5,1
ENSMUSG00000000058,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,2,0,2,0
ENSMUSG00000000078,3,2,4,0,0,0,4,0,0,0,0,5,0,0,0,4,0,2,0,0,2,4,0
ENSMUSG00000000085,0,0,1,0,0,5,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,0
ENSMUSG00000000088,15,10,13,0,3,4,24,2,4,1,3,6,5,0,3,16,0,17,0,4,2,18,13
ENSMUSG00000000093,1,0,2,0,0,2,5,2,1,0,0,2,0,0,2,4,0,2,0,0,0,0,0
ENSMUSG00000000094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000120,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000000125,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000126,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
