GeneID,TS1,TS2,TS3,TS4,TS5,TS6,TS8,TS9,TS10,TS11,TS12,TS13,TS14,TS15,TS16,TS18,TS19,TS20,TS21,TS22,TS23,TS25,TS27
ENSMUSG00000000001,830,869,1050,528,259,957,1318,769,641,343,774,932,995,575,876,1056,594,1543,753,980,1185,1354,1067
ENSMUSG00000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000028,94,114,122,50,43,51,124,48,37,47,63,104,76,29,66,125,40,101,13,57,44,140,83
ENSMUSG00000000031,275,419,494,206,79,41,782,74,184,50,455,516,478,54,380,367,75,976,42,215,84,804,313
ENSMUSG00000000037,42,11,37,17,5,18,42,14,25,25,24,25,28,32,8,16,8,35,12,12,18,16,28
ENSMUSG00000000049,5,4,6,1,0,1,8,3,1,6,0,8,1,3,2,2,0,6,0,4,0,6,3
ENSMUSG00000000056,3922,3625,5639,1837,671,2011,5576,1453,2257,616,2709,3894,3643,903,2563,3091,1198,3806,1475,2021,1872,6066,3810
ENSMUSG00000000058,1739,2122,2057,1096,648,1915,2077,1965,1500,1284,1725,2001,2140,2208,1887,1953,1176,1885,2409,2462,2592,3470,1914
ENSMUSG00000000078,2190,3390,2894,1582,1091,1996,3518,1812,2579,1088,3060,2727,2377,2277,2682,2295,1486,2779,2158,1999,3536,3021,2314
ENSMUSG00000000085,1043,1121,1753,786,296,830,1913,435,703,242,1095,1228,1123,141,1180,1206,523,1332,257,602,530,2349,1207
ENSMUSG00000000088,35611,19972,17891,9316,13185,11238,19766,13182,12038,14356,7336,13819,15202,27806,14785,31717,13972,13420,17317,14579,10657,24262,14169
ENSMUSG00000000093,256,196,337,181,31,112,446,85,112,65,232,275,279,16,156,268,127,316,19,113,73,396,207
ENSMUSG00000000094,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0
ENSMUSG00000000103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000120,27,16,34,23,4,25,55,10,14,0,18,14,7,4,21,16,7,48,3,39,16,44,14
ENSMUSG00000000125,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000126,165,163,260,144,65,123,317,85,74,50,167,209,193,53,140,164,79,310,73,110,94,394,215
ENSMUSG00000000127,399,508,565,434,172,476,678,439,485,214,592,433,529,264,440,469,358,517,362,541,597,813,476
ENSMUSG00000000131,1007,1004,2013,827,317,757,2122,621,840,318,1231,1241,1188,367,837,1050,597,1596,368,671,603,2539,1391
ENSMUSG00000000134,466,466,804,434,122,396,1085,333,290,177,481,713,615,120,438,568,316,1031,166,376,279,1157,632
ENSMUSG00000000142,91,90,194,103,10,60,228,38,64,19,129,110,137,50,68,110,45,164,38,62,37,180,126
ENSMUSG00000000148,286,278,462,153,47,128,573,83,83,23,175,364,333,40,197,270,106,423,63,159,84,572,289
