feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
benzoate	Group	non-Severe	4.58415798809841	0.190797828773995	1.12747058058493e-40	5.13450102398377e-37	CPLM	1.99	96	96	0
benzoate	Group	non-COVID-19	4.3079452066509	0.193364460830035	3.62147156238096e-38	8.24609074754144e-35	CPLM	1.99	96	96	0
benzoate	Group	Severe	4.60055539533685	0.21159774848232	2.27518653787437e-37	3.45373316449329e-34	CPLM	1.99	96	96	0
beta-alanine	Group	Severe	1.86695462403784	0.126294122219853	1.08508649951214e-25	1.23537097969458e-22	CPLM	1.762	96	96	0
beta-alanine	Group	non-Severe	1.68379976282549	0.11701343037012	5.92490353263186e-25	5.3964021375211e-22	CPLM	1.762	96	96	0
beta-alanine	Group	non-COVID-19	1.61570402218141	0.117045475573248	7.71421430040256e-24	5.85508865400554e-21	CPLM	1.762	96	96	0
cytosine	Group	Severe	2.61923661595067	0.260812065000066	2.61471892801023e-16	1.70106142830837e-13	CPLM	1.651	96	93	3
N-palmitoyl-sphingosine (d18:1/16:0)	Group	Severe	0.849509521825168	0.0853839737415418	4.07513847225413e-16	2.31977257533066e-13	CPLM	1.99	96	96	0
4-chlorobenzoic acid	Group	non-Severe	0.859574488115215	0.0925229044457675	9.40587976635061e-15	4.75937516177341e-12	CPLM	1.99	96	96	0
S-carboxyethylcysteine	Group	non-COVID-19	1.9492613635585	0.214287373546424	2.37138818311521e-14	1.07993017859067e-11	CPLM	1.99	96	96	0
S-carboxyethylcysteine	Group	Severe	2.08699354106637	0.234759857123268	6.34875638350847e-14	2.62838514277251e-11	CPLM	1.99	96	96	0
4-chlorobenzoic acid	Group	Severe	0.861858007536124	0.102757930313738	6.94028008695593e-13	2.43123350123056e-10	CPLM	1.99	96	96	0
S-carboxyethylcysteine	Group	non-Severe	1.77859889923915	0.211657450455945	6.43465669859081e-13	2.43123350123056e-10	CPLM	1.99	96	96	0
cytosine	Group	non-Severe	2.01719200884628	0.249886108265913	3.08519523210135e-12	1.00356993478497e-09	CPLM	1.651	96	93	3
N-palmitoyl-sphingosine (d18:1/16:0)	Group	non-Severe	0.614427074573778	0.0769237631999103	4.60931909548502e-12	1.39938927738925e-09	CPLM	1.99	96	96	0
N-formylphenylalanine	Group	Severe	0.60361072470312	0.0771246261173367	9.84935759213362e-12	2.80337340466103e-09	CPLM	1.99	96	96	0
mannose	Group	Severe	1.1525528496267	0.15066149255206	2.25722222793549e-11	6.04670001530483e-09	CPLM	1.99	96	96	0
tryptophan betaine	Group	Severe	-2.14390508278291	0.286938804477288	5.19967352058584e-11	1.31551740070822e-08	CPLM	1.99	96	96	0
8-hydroxyoctanoate	Group	Severe	1.00079532333136	0.136353910872946	9.61823812874491e-11	2.30533981254233e-08	CPLM	1.99	96	96	0
pregnen-diol disulfate*	Group	Severe	1.28814297242525	0.176089977434917	1.07758081604801e-10	2.45365151814131e-08	CPLM	1.868	96	96	0
allantoin	Group	non-Severe	0.603019064344695	0.0829393293111983	1.3259984241055e-10	2.87552229684593e-08	CPLM	1.99	96	96	0
sphingosine 1-phosphate	Group	non-COVID-19	-0.599897085417531	0.0848777768088324	3.39012733846969e-10	7.01756359063226e-08	CPLM	1.402	96	96	0
N-formylphenylalanine	Group	non-Severe	0.484847093850217	0.0694534162925008	5.05805615386754e-10	1.00149511846577e-07	CPLM	1.99	96	96	0
1-arachidonoyl-GPA (20:4)	Group	non-COVID-19	-1.10556403370649	0.161461750512573	9.33819187469259e-10	1.701045031894e-07	CPLM	1.23	96	91	5
inosine	Group	Severe	3.47338004054719	0.506890413637774	9.12240474927916e-10	1.701045031894e-07	CPLM	1.936	96	95	1
dehydroepiandrosterone sulfate (DHEA-S)	Age	Age	-0.029285467235067	0.00435834147392795	1.67318616257273e-09	2.93064991706008e-07	CPLM	1.439	96	96	0
phenyllactate (PLA)	Group	non-COVID-19	0.978448070768191	0.145842200110044	1.75470709278793e-09	2.95960596316897e-07	CPLM	1.99	96	96	0
stearoyl sphingomyelin (d18:1/18:0)	Group	Severe	0.672303471770912	0.101989282306927	2.98424777140759e-09	4.85366583963934e-07	CPLM	1.99	96	96	0
uridine	Group	Severe	-0.549910174237596	0.0842043412344228	3.93562844154765e-09	6.18029376648552e-07	CPLM	1.873	96	96	0
2-hydroxybutyrate/2-hydroxyisobutyrate	Group	non-COVID-19	0.865750277978695	0.133088060793587	4.41661403892907e-09	6.70442011109432e-07	CPLM	1.99	96	96	0
5alpha-androstan-3beta,17beta-diol disulfate	Sex	Male	1.18835397240597	0.184522235433748	5.91511111435887e-09	8.68948903702912e-07	CPLM	1.795	96	96	0
inosine	Group	non-Severe	2.96695186538053	0.464313620451252	7.40907957738141e-09	1.05440463735609e-06	CPLM	1.936	96	95	1
1-arachidonoyl-GPA (20:4)	Group	Severe	-1.26890240181415	0.199512325811847	8.47246387177328e-09	1.16920001430471e-06	CPLM	1.23	96	91	5
3,4-dihydroxybutyrate	Group	Severe	0.806814093826124	0.128443105922173	1.2030339200407e-08	1.61034066385998e-06	CPLM	1.99	96	96	0
gamma-CEHC	Group	Severe	-1.55041257912901	0.247072805606746	1.23763555632629e-08	1.61034066385998e-06	CPLM	1.378	96	92	4
alpha-tocopherol	Group	Severe	-0.755338425925141	0.120844427666258	1.38097123742773e-08	1.69971432844483e-06	CPLM	1.915	96	96	0
sphingosine 1-phosphate	Group	Severe	-0.616705224168839	0.0985775096892149	1.34734756927636e-08	1.69971432844483e-06	CPLM	1.402	96	96	0
1-arachidonoyl-GPI* (20:4)*	Group	Severe	-0.822608192217412	0.132969102478805	1.83513448667588e-08	2.15096212005539e-06	CPLM	1.99	96	96	0
4-chlorobenzoic acid	Group	non-COVID-19	0.580091433673654	0.0937807825117925	1.84206242165481e-08	2.15096212005539e-06	CPLM	1.99	96	96	0
4-vinylcatechol sulfate	Group	non-Severe	-5.16957317530102	0.837762387031003	1.96791426284794e-08	2.24047038825238e-06	CPLM	1.575	96	44	54
5alpha-androstan-3alpha,17beta-diol disulfate	Group	Severe	2.25715401999557	0.367745477386088	2.27595868246836e-08	2.50724409402494e-06	CPLM	1.511	96	81	16
Fibrinopeptide B (1-13)	Group	Severe	2.65224730308391	0.433112286185051	2.42245806185984e-08	2.50724409402494e-06	CPLM	1.773	96	90	6
stearoyl sphingomyelin (d18:1/18:0)	Group	non-Severe	0.562415792202153	0.0918399956179149	2.42062771603262e-08	2.50724409402494e-06	CPLM	1.99	96	96	0
undecanoate (11:0)	Group	non-Severe	0.295940279254989	0.0482555019027532	2.32719142034188e-08	2.50724409402494e-06	CPLM	1.99	96	96	0
15-HETE	Group	Severe	-1.4929633850564	0.245992713876407	3.08114832953297e-08	3.11812210948737e-06	CPLM	1.577	96	94	2
pregnenetriol disulfate*	Group	Severe	1.34354831619133	0.221595120691081	3.16441117599683e-08	3.13276706423686e-06	CPLM	1.99	96	96	0
1-linoleoyl-GPA (18:2)*	Group	Severe	-1.43655372599461	0.237828592836976	3.49786621499756e-08	3.38920909427636e-06	CPLM	1.313	96	91	5
cytidine	Group	non-COVID-19	1.02439404315013	0.170147622696222	3.81342286071884e-08	3.617984939107e-06	CPLM	1.99	96	96	0
1-arachidonoyl-GPA (20:4)	Group	non-Severe	-1.01661197173606	0.169217399247839	4.03528900909143e-08	3.67534122948047e-06	CPLM	1.23	96	91	5
5alpha-pregnan-diol disulfate	Group	Severe	2.12000727179471	0.352855015954272	4.0277444427101e-08	3.67534122948047e-06	CPLM	1.623	96	90	6
N(1)-acetylspermidine	Group	non-COVID-19	1.4618128667445	0.24435815590527	4.51171177351386e-08	4.02869321893767e-06	CPLM	1.718	96	94	2
2S,3R-dihydroxybutyrate	Group	Severe	1.01664832121697	0.170648227551153	5.02622351886246e-08	4.4018119047884e-06	CPLM	1.99	96	96	0
docosadioate (C22-DC)	Group	Severe	-0.815312626800581	0.138396386606188	6.71529560312138e-08	5.77008607105939e-06	CPLM	1.169	96	95	1
citrulline	Group	Severe	-0.490723500959257	0.0834084557162731	6.94597697359458e-08	5.85777391439809e-06	CPLM	1.99	96	96	0
tryptophan betaine	Group	non-Severe	-1.51450829273905	0.257787439657237	7.20285278487055e-08	5.96396210587281e-06	CPLM	1.99	96	96	0
1,2-dilinoleoyl-GPC (18:2/18:2)	Group	Severe	-0.913893611929087	0.157040990961797	9.16695501333443e-08	7.32391458433772e-06	CPLM	1.719	96	96	0
2-hydroxybutyrate/2-hydroxyisobutyrate	Group	Severe	0.849349289181483	0.145919102923534	9.11836456298232e-08	7.32391458433772e-06	CPLM	1.99	96	96	0
sphingomyelin (d18:0/18:0, d19:0/17:0)*	Group	Severe	1.11936670965032	0.192817339437091	9.74549964008821e-08	7.65189747602788e-06	CPLM	1.467	96	95	1
homoarginine	Group	Severe	-0.742280969509199	0.128378449015511	1.0780563880498e-07	8.32113354437086e-06	CPLM	1.811	96	96	0
ribitol	Group	non-COVID-19	0.434447022276943	0.075441261578278	1.19175673952424e-07	9.04543365298896e-06	CPLM	1.99	96	96	0
glycochenodeoxycholate glucuronide (1)	Group	Severe	1.85546639232082	0.322865930943519	1.25439536863723e-07	9.36478116192447e-06	CPLM	1.99	96	96	0
1,2-dilinoleoyl-GPC (18:2/18:2)	Group	non-COVID-19	-0.793636432399556	0.138480158430621	1.34281621957404e-07	9.86320171603252e-06	CPLM	1.719	96	96	0
myristoleate (14:1n5)	Group	non-COVID-19	1.13506330031479	0.199446088392643	1.5945182298359e-07	1.15260889185281e-05	CPLM	1.99	96	96	0
cholesterol sulfate	Group	non-COVID-19	-0.616231847648766	0.108526875343907	1.68545648760136e-07	1.19930763195884e-05	CPLM	1.024	96	95	1
allantoin	Group	Severe	0.522791111176407	0.0921376478875132	1.71554453179512e-07	1.20193689196846e-05	CPLM	1.99	96	96	0
N-linoleoylserine*	Group	Severe	-1.11014958638952	0.196218398295064	1.83961644580488e-07	1.26933534760537e-05	CPLM	1.489	96	95	1
1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*	Group	Severe	-0.942081051620671	0.167321493821115	2.06800017050296e-07	1.34538182521007e-05	CPLM	1.044	96	95	1
ethyl alpha-glucopyranoside	Group	non-COVID-19	-2.97821404617543	0.528305667674302	2.00765791929953e-07	1.34538182521007e-05	CPLM	1.394	96	44	54
sphingomyelin (d18:1/18:1, d18:2/18:0)	Group	non-Severe	0.496686581949953	0.0882044846313385	2.06168266545525e-07	1.34538182521007e-05	CPLM	1.472	96	96	0
sphingomyelin (d18:1/22:2, d18:2/22:1, d16:1/24:2)*	Group	Severe	0.583792760385332	0.103577000015269	2.01605933356139e-07	1.34538182521007e-05	CPLM	1.99	96	96	0
pregnenediol sulfate (C21H34O5S)*	Age	Age	-0.0336868640227687	0.00599432378056552	2.16351342303985e-07	1.38769579274979e-05	CPLM	1.956	96	96	0
hydroxypalmitoyl sphingomyelin (d18:1/16:0(OH))	Group	Severe	0.664645172762251	0.118808503857209	2.41250385926565e-07	1.52590869098552e-05	CPLM	1.99	96	96	0
8-hydroxyoctanoate	Group	non-Severe	0.686311469840344	0.122865317800156	2.50009178179529e-07	1.55964629784873e-05	CPLM	1.99	96	96	0
gamma-CEHC	Group	non-COVID-19	-1.05695522982497	0.190004715937701	2.75830490672905e-07	1.69747574935731e-05	CPLM	1.378	96	92	4
3-hydroxystearate	Group	non-COVID-19	-0.644969168358039	0.116058077983048	2.8233933767544e-07	1.71436445836527e-05	CPLM	1.99	96	96	0
hexanoylglutamine	Group	non-COVID-19	1.7073858205938	0.3083320365592	3.07110049104552e-07	1.84023574160807e-05	CPLM	1.675	96	93	3
iminodiacetate (IDA)	Group	non-Severe	3.48513487222868	0.630801499551624	3.23910661362931e-07	1.91570019720362e-05	CPLM	1.778	96	68	29
N-acetylcarnosine	Sex	Male	0.898879875281572	0.163428141281736	3.59742313260558e-07	2.08872210689582e-05	CPLM	1.605	96	95	1
proline	Group	Severe	-0.485889646104484	0.0883684198124825	3.62338705412319e-07	2.08872210689582e-05	CPLM	1.99	96	96	0
3-hydroxylaurate	Group	non-COVID-19	0.853635942561078	0.155779684898698	3.921215374159e-07	2.23215185174001e-05	CPLM	1.99	96	96	0
prolylglycine	Group	Severe	-1.15669109495289	0.211694220780815	4.19151078165252e-07	2.35656050612908e-05	CPLM	1.196	96	91	5
sphingomyelin (d18:0/18:0, d19:0/17:0)*	Group	non-Severe	0.984949093813904	0.180806246954113	4.49213061851082e-07	2.49477595569491e-05	CPLM	1.467	96	95	1
phenyllactate (PLA)	Group	Severe	0.870407474756871	0.159939200534293	4.59593498011107e-07	2.52167324089468e-05	CPLM	1.99	96	96	0
7-hydroxycholesterol (alpha or beta)	Group	Severe	0.850842196659775	0.157159944323587	5.1758227248333e-07	2.80603532010605e-05	CPLM	1.04	96	87	9
glycerophosphoserine*	Group	non-Severe	-0.660070725190875	0.122136535898066	5.38634304794283e-07	2.88581249886255e-05	CPLM	1.085	96	94	2
glycochenodeoxycholate 3-sulfate	Group	Severe	1.58536138425188	0.293924673913466	5.63130548895089e-07	2.98197269728864e-05	CPLM	1.99	96	96	0
Fibrinopeptide A (3-16)	Group	Severe	1.84502949609206	0.342369118405795	5.74485035622055e-07	2.99874451843304e-05	CPLM	1.409	96	80	17
sphingomyelin (d18:1/22:2, d18:2/22:1, d16:1/24:2)*	Group	non-Severe	0.502453103759042	0.0932723363237826	5.79467539793824e-07	2.99874451843304e-05	CPLM	1.99	96	96	0
phosphate	Group	non-Severe	3.49336100301066	0.651476946272133	6.42685751434358e-07	3.28852911464277e-05	CPLM	1.781	96	69	28
hydroxyproline	Group	Severe	-0.892024623315673	0.166559506945783	6.60742677646928e-07	3.34335794889345e-05	CPLM	1.99	96	96	0
1-stearoyl-GPI (18:0)	Group	Severe	-0.824725873758086	0.15500589430661	7.64625589754421e-07	3.82648894037542e-05	CPLM	1.99	96	96	0
carotene diol (1)	Group	Severe	-0.72315003942784	0.136007333051387	7.76237576093957e-07	3.84237600166509e-05	CPLM	1.99	96	96	0
1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)	Group	Severe	-0.497559281252548	0.0936988578912289	7.98529948134136e-07	3.91022084279877e-05	CPLM	1.573	96	96	0
5alpha-androstan-3alpha,17beta-diol disulfate	Sex	Male	1.60433676528374	0.302493433197233	8.20392566375285e-07	3.93270289186637e-05	CPLM	1.511	96	81	16
sucrose	Group	non-Severe	-3.07695995960522	0.579913953214127	8.12972621913976e-07	3.93270289186637e-05	CPLM	1.713	96	79	18
N-palmitoyl-sphingosine (d18:1/16:0)	Group	non-COVID-19	0.413159703809414	0.0779501850476419	8.32094228977596e-07	3.94724699871247e-05	CPLM	1.99	96	96	0
1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*	Group	non-COVID-19	-0.753196018036664	0.142448393366622	8.77596774392658e-07	4.12018114493213e-05	CPLM	1.784	96	96	0
sphingomyelin (d18:1/18:1, d18:2/18:0)	Group	Severe	0.507077148602502	0.0966274447333627	1.03492800715909e-06	4.80924708632906e-05	CPLM	1.472	96	96	0
phosphocholine	Group	Severe	0.382872718511164	0.0730109601760051	1.05095216686417e-06	4.83437996757517e-05	CPLM	1.99	96	96	0
gamma-glutamylphenylalanine	Group	non-COVID-19	0.601854083559293	0.115195118862435	1.13874541884249e-06	5.18584663740872e-05	CPLM	1.99	96	96	0
4-vinylcatechol sulfate	Sex	Male	3.58325469116252	0.686878231510134	1.17664505060513e-06	5.30538768361955e-05	CPLM	1.575	96	44	54
5-methyluridine (ribothymidine)	Group	Severe	-0.422927598943579	0.0812457391830337	1.23226692185079e-06	5.50170937461617e-05	CPLM	1.848	96	96	0
phenylalanine	Group	Severe	0.289643629736384	0.0556919049317676	1.25646703293836e-06	5.55529210485564e-05	CPLM	1.99	96	96	0
sphingosine 1-phosphate	Group	non-Severe	-0.445408377589718	0.0858820247070374	1.334059117185e-06	5.84163963428894e-05	CPLM	1.402	96	96	0
1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)	Group	non-COVID-19	-0.425187834955057	0.082045946357017	1.35603679718725e-06	5.8459558722763e-05	CPLM	1.573	96	96	0
5-dodecenoate (12:1n7)	Group	non-COVID-19	1.08216639026052	0.208852897359049	1.36071875814951e-06	5.8459558722763e-05	CPLM	1.697	96	95	1
3-phenylpropionate (hydrocinnamate)	Group	non-COVID-19	1.27866480941817	0.247694918946869	1.47265707933238e-06	6.2677386348408e-05	CPLM	1.99	96	96	0
taurochenodeoxycholic acid 3-sulfate	Group	non-COVID-19	2.46280750493394	0.477430999226684	1.49582793840508e-06	6.30740780694143e-05	CPLM	1.901	96	95	1
