"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","ensembl_gene_id"
"ENSMUSG00000026249",1.28006832367587e-09,Inf,0.87,0.669,2.56013664735174e-06,"0","ENSMUSG00000026249"
"ENSMUSG00000019874",2.693927975315e-09,Inf,0.778,0.551,5.38785595063001e-06,"0","ENSMUSG00000019874"
"ENSMUSG00000004892",2.43058446344644e-08,Inf,0.759,0.522,4.86116892689289e-05,"0","ENSMUSG00000004892"
"ENSMUSG00000029231",4.49450701580867e-07,Inf,0.704,0.471,0.000898901403161734,"0","ENSMUSG00000029231"
"ENSMUSG00000055538",8.12867586011472e-06,211.320359839172,0.593,0.353,0.0162573517202294,"0","ENSMUSG00000055538"
"ENSMUSG00000000594",8.71071761432605e-06,Inf,0.722,0.5,0.0174214352286521,"0","ENSMUSG00000000594"
"ENSMUSG00000068748",1.5171711603548e-05,Inf,0.648,0.412,0.030343423207096,"0","ENSMUSG00000068748"
"ENSMUSG00000041235",0.000186196088671492,Inf,0.648,0.456,0.372392177342984,"0","ENSMUSG00000041235"
"ENSMUSG00000019961",0.000190083576755627,201.036491439172,0.63,0.375,0.380167153511254,"0","ENSMUSG00000019961"
"ENSMUSG00000062963",0.000243364659099759,19.5997287888044,0.204,0.485,0.486729318199518,"0","ENSMUSG00000062963"
"ENSMUSG00000069763",0.000250381269397693,375.379610239172,0.352,0.176,0.500762538795386,"0","ENSMUSG00000069763"
"ENSMUSG00000040204",0.000270615807291148,212.503336068413,0.407,0.235,0.541231614582297,"0","ENSMUSG00000040204"
"ENSMUSG00000006800",0.000314191596898512,Inf,0.537,0.368,0.628383193797025,"0","ENSMUSG00000006800"
"ENSMUSG00000003038",0.000314724640565013,Inf,0.944,0.912,0.629449281130026,"0","ENSMUSG00000003038"
"ENSMUSG00000018040",0.000335345064063506,111.796373039172,0.185,0.441,0.670690128127012,"0","ENSMUSG00000018040"
"ENSMUSG00000033006",0.000355376271344103,392.031428396057,0.593,0.375,0.710752542688206,"0","ENSMUSG00000033006"
"ENSMUSG00000030059",0.000394299611067122,84.9760972118499,0.111,0.368,0.788599222134244,"0","ENSMUSG00000030059"
"ENSMUSG00000026605",0.000405471173557563,Inf,0.593,0.449,0.810942347115127,"0","ENSMUSG00000026605"
"ENSMUSG00000026424",0.00040634153687921,532.034095839172,0.481,0.331,0.812683073758419,"0","ENSMUSG00000026424"
"ENSMUSG00000037313",0.000442569533112279,253.526693128495,0.315,0.118,0.885139066224558,"0","ENSMUSG00000037313"
"ENSMUSG00000052040",0.000500236600402709,Inf,0.278,0.566,1,"0","ENSMUSG00000052040"
"ENSMUSG00000003226",0.000861871439640265,135.917627343334,0.315,0.176,1,"0","ENSMUSG00000003226"
"ENSMUSG00000001052",0.000991275415249018,152.014326739172,0.167,0.39,1,"0","ENSMUSG00000001052"
"ENSMUSG00000031617",0.00131194648442764,502.261327037867,0.407,0.25,1,"0","ENSMUSG00000031617"
"ENSMUSG00000034269",0.00131404839651755,108.265695666306,0.222,0.5,1,"0","ENSMUSG00000034269"
"ENSMUSG00000047881",0.0013880891419742,Inf,0.185,0.449,1,"0","ENSMUSG00000047881"
"ENSMUSG00000074415",0.00146148697936587,518.934935927961,0.407,0.25,1,"0","ENSMUSG00000074415"
"ENSMUSG00000071265",0.00220006494710968,379.453401689042,0.315,0.176,1,"0","ENSMUSG00000071265"
"ENSMUSG00000039765",0.00281016881100365,308.629358282716,0.259,0.169,1,"0","ENSMUSG00000039765"
"ENSMUSG00000040720",0.00285780739193971,47.4072135616919,0.185,0.382,1,"0","ENSMUSG00000040720"
"ENSMUSG00000045328",0.00307586736631613,Inf,0.426,0.301,1,"0","ENSMUSG00000045328"
