"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"ENSMUSG00000039497",5.0345355511773e-08,-0.332862205201669,0,1,0.000100690711023546
"ENSMUSG00000033016",5.0345355511773e-08,-0.55879805928639,0,1,0.000100690711023546
"ENSMUSG00000074039",5.0345355511773e-08,-0.573811048794639,0,1,0.000100690711023546
"ENSMUSG00000033847",5.0345355511773e-08,-0.876666932413784,0,1,0.000100690711023546
"ENSMUSG00000038781",5.0345355511773e-08,-0.891418205225603,0,1,0.000100690711023546
"ENSMUSG00000022034",5.0345355511773e-08,-1.41479185444927,0,1,0.000100690711023546
"ENSMUSG00000050545",5.0345355511773e-08,-1.44386411415097,0,1,0.000100690711023546
"ENSMUSG00000036362",5.0345355511773e-08,-1.49103129779596,0,1,0.000100690711023546
"ENSMUSG00000038642",5.0345355511773e-08,-1.54657084792405,0,1,0.000100690711023546
"ENSMUSG00000028706",5.0345355511773e-08,-1.64143789502091,0,1,0.000100690711023546
"ENSMUSG00000043943",5.0345355511773e-08,-1.65236253522732,0,1,0.000100690711023546
"ENSMUSG00000001123",5.0345355511773e-08,-1.68415945736875,0,1,0.000100690711023546
"ENSMUSG00000006398",5.0345355511773e-08,-1.71686764364174,0,1,0.000100690711023546
"ENSMUSG00000041577",5.0345355511773e-08,-1.73556200389872,0,1,0.000100690711023546
"ENSMUSG00000061758",5.0345355511773e-08,-1.75720047816085,0,1,0.000100690711023546
"ENSMUSG00000059498",5.0345355511773e-08,-1.88076337569762,0,1,0.000100690711023546
"ENSMUSG00000031756",5.0345355511773e-08,-1.91271413964388,0,1,0.000100690711023546
"ENSMUSG00000097857",5.0345355511773e-08,-2.32267767681571,0,1,0.000100690711023546
"ENSMUSG00000037846",5.0345355511773e-08,-2.35998907208354,0,1,0.000100690711023546
"ENSMUSG00000022574",5.0345355511773e-08,-2.57315417395728,0,1,0.000100690711023546
"ENSMUSG00000070469",5.0345355511773e-08,-2.61441682201172,0,1,0.000100690711023546
"ENSMUSG00000048489",5.0345355511773e-08,-3.24604311261895,0,1,0.000100690711023546
"ENSMUSG00000020467",5.0345355511773e-08,-3.30035494451801,0,1,0.000100690711023546
"ENSMUSG00000030614",5.0345355511773e-08,-3.51477913738362,0,1,0.000100690711023546
"ENSMUSG00000022262",5.0345355511773e-08,-4.27128974504481,0,1,0.000100690711023546
"ENSMUSG00000087201",5.0345355511773e-08,-4.33690048481953,0,1,0.000100690711023546
"ENSMUSG00000031273",5.0345355511773e-08,-4.52942515502887,0,1,0.000100690711023546
"ENSMUSG00000032643",5.0345355511773e-08,-5.27976977541627,0,1,0.000100690711023546
"ENSMUSG00000056174",5.0345355511773e-08,-5.40840535188521,0,1,0.000100690711023546
