"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"ENSMUSG00000103803",7.16408994204226e-08,-0.263769422801468,0,1,0.000143281798840845
"ENSMUSG00000064065",7.16408994204226e-08,-0.279992445339884,0,1,0.000143281798840845
"ENSMUSG00000032579",7.16408994204226e-08,-0.323928747666762,0,1,0.000143281798840845
"ENSMUSG00000049097",7.16408994204226e-08,-0.410972106563531,0,1,0.000143281798840845
"ENSMUSG00000028518",7.16408994204226e-08,-0.418499379953933,0,1,0.000143281798840845
"ENSMUSG00000058248",7.16408994204226e-08,-0.441910734736639,0,1,0.000143281798840845
"ENSMUSG00000023259",7.16408994204226e-08,-0.443333641799482,0,1,0.000143281798840845
"ENSMUSG00000027966",7.16408994204226e-08,-0.579005473125014,0,1,0.000143281798840845
"ENSMUSG00000030515",7.16408994204226e-08,-0.617266252740421,0,1,0.000143281798840845
"ENSMUSG00000020096",7.16408994204226e-08,-0.66127004362771,0,1,0.000143281798840845
"ENSMUSG00000048905",7.16408994204226e-08,-0.667276151088683,0,1,0.000143281798840845
"ENSMUSG00000075410",7.16408994204226e-08,-0.698824856141083,0,1,0.000143281798840845
"ENSMUSG00000048027",7.16408994204226e-08,-0.708008883754141,0,1,0.000143281798840845
"ENSMUSG00000103761",7.16408994204226e-08,-0.737064969786322,0,1,0.000143281798840845
"ENSMUSG00000061802",7.16408994204226e-08,-0.740885348947375,0,1,0.000143281798840845
"ENSMUSG00000034209",7.16408994204226e-08,-0.746275810906704,0,1,0.000143281798840845
"ENSMUSG00000027947",7.16408994204226e-08,-0.748962049198312,0,1,0.000143281798840845
"ENSMUSG00000058806",7.16408994204226e-08,-0.848403167702871,0,1,0.000143281798840845
"ENSMUSG00000022817",7.16408994204226e-08,-0.862241580568167,0,1,0.000143281798840845
"ENSMUSG00000078190",7.16408994204226e-08,-0.874900581362982,0,1,0.000143281798840845
"ENSMUSG00000033847",7.16408994204226e-08,-0.888408914805194,0,1,0.000143281798840845
"ENSMUSG00000029088",7.16408994204226e-08,-0.952855654366942,0,1,0.000143281798840845
"ENSMUSG00000074782",7.16408994204226e-08,-0.981986001426606,0,1,0.000143281798840845
"ENSMUSG00000021838",7.16408994204226e-08,-1.00131233181369,0,1,0.000143281798840845
"ENSMUSG00000074039",7.16408994204226e-08,-1.00649101146916,0,1,0.000143281798840845
"ENSMUSG00000039552",7.16408994204226e-08,-1.00784489351925,0,1,0.000143281798840845
"ENSMUSG00000062040",7.16408994204226e-08,-1.01206562893052,0,1,0.000143281798840845
"ENSMUSG00000021245",7.16408994204226e-08,-1.04706876685339,0,1,0.000143281798840845
"ENSMUSG00000031298",7.16408994204226e-08,-1.06941086505713,0,1,0.000143281798840845
"ENSMUSG00000000982",7.16408994204226e-08,-1.12202455147775,0,1,0.000143281798840845
"ENSMUSG00000022034",7.16408994204226e-08,-1.13113353803098,0,1,0.000143281798840845
"ENSMUSG00000030793",7.16408994204226e-08,-1.28857225799589,0,1,0.000143281798840845
"ENSMUSG00000022371",7.16408994204226e-08,-1.33365664749015,0,1,0.000143281798840845
"ENSMUSG00000059669",7.16408994204226e-08,-1.37985786709986,0,1,0.000143281798840845
"ENSMUSG00000048747",7.16408994204226e-08,-1.39758466307806,0,1,0.000143281798840845
"ENSMUSG00000062151",7.16408994204226e-08,-1.44029124293106,0,1,0.000143281798840845
"ENSMUSG00000041710",7.16408994204226e-08,-1.44867211775751,0,1,0.000143281798840845
"ENSMUSG00000050545",7.16408994204226e-08,-1.50735338559607,0,1,0.000143281798840845
"ENSMUSG00000087201",7.16408994204226e-08,-1.57517801869634,0,1,0.000143281798840845
"ENSMUSG00000074415",7.16408994204226e-08,-1.62190206329743,0,1,0.000143281798840845
"ENSMUSG00000062593",7.16408994204226e-08,-1.6349290063253,0,1,0.000143281798840845
"ENSMUSG00000103891",7.16408994204226e-08,-1.64754290320641,0,1,0.000143281798840845
"ENSMUSG00000054477",7.16408994204226e-08,-1.66425262431773,0,1,0.000143281798840845
"ENSMUSG00000030092",7.16408994204226e-08,-1.72895153879779,0,1,0.000143281798840845
"ENSMUSG00000036898",7.16408994204226e-08,-1.76514803759499,0,1,0.000143281798840845
"ENSMUSG00000024962",7.16408994204226e-08,-1.82308353198464,0,1,0.000143281798840845
"ENSMUSG00000102854",7.16408994204226e-08,-1.83017384565605,0,1,0.000143281798840845
"ENSMUSG00000052613",7.16408994204226e-08,-1.87760104934502,0,1,0.000143281798840845
"ENSMUSG00000005124",7.16408994204226e-08,-1.9001085681776,0,1,0.000143281798840845
"ENSMUSG00000022787",7.16408994204226e-08,-2.07054701136267,0,1,0.000143281798840845
"ENSMUSG00000020253",7.16408994204226e-08,-2.09629015889644,0,1,0.000143281798840845
"ENSMUSG00000070469",7.16408994204226e-08,-2.11146624449098,0,1,0.000143281798840845
"ENSMUSG00000024479",7.16408994204226e-08,-2.13157319969411,0,1,0.000143281798840845
"ENSMUSG00000039497",7.16408994204226e-08,-2.15112739264865,0,1,0.000143281798840845
"ENSMUSG00000037846",7.16408994204226e-08,-2.24696121690848,0,1,0.000143281798840845
"ENSMUSG00000022262",7.16408994204226e-08,-2.26725758982324,0,1,0.000143281798840845
"ENSMUSG00000022311",7.16408994204226e-08,-2.32085391479354,0,1,0.000143281798840845
"ENSMUSG00000014361",7.16408994204226e-08,-2.38548263253149,0,1,0.000143281798840845
"ENSMUSG00000022574",7.16408994204226e-08,-2.39260055415651,0,1,0.000143281798840845
"ENSMUSG00000031075",7.16408994204226e-08,-2.40907795897109,0,1,0.000143281798840845
"ENSMUSG00000020799",7.16408994204226e-08,-2.42907376855406,0,1,0.000143281798840845
"ENSMUSG00000044676",7.16408994204226e-08,-2.45816983547358,0,1,0.000143281798840845
"ENSMUSG00000020766",7.16408994204226e-08,-2.46471137941215,0,1,0.000143281798840845
"ENSMUSG00000031740",7.16408994204226e-08,-2.65206851222649,0,1,0.000143281798840845
"ENSMUSG00000006517",7.16408994204226e-08,-2.68228831814281,0,1,0.000143281798840845
"ENSMUSG00000022805",7.16408994204226e-08,-2.80913177641379,0,1,0.000143281798840845
"ENSMUSG00000003452",7.16408994204226e-08,-2.88295551720304,0,1,0.000143281798840845
"ENSMUSG00000030839",7.16408994204226e-08,-3.37673458947758,0,1,0.000143281798840845
"ENSMUSG00000003436",7.16408994204226e-08,-3.54070613595296,0,1,0.000143281798840845
"ENSMUSG00000007038",7.16408994204226e-08,-3.56981223685529,0,1,0.000143281798840845
"ENSMUSG00000031099",7.16408994204226e-08,-3.58082563770212,0,1,0.000143281798840845
"ENSMUSG00000039145",7.16408994204226e-08,-3.68681684818581,0,1,0.000143281798840845
"ENSMUSG00000026384",7.16408994204226e-08,-3.73814499483567,0,1,0.000143281798840845
"ENSMUSG00000042066",7.16408994204226e-08,-4.19366653379195,0,1,0.000143281798840845
"ENSMUSG00000038555",7.16408994204226e-08,-4.25472062072641,0,1,0.000143281798840845
"ENSMUSG00000030393",7.16408994204226e-08,-4.39333883597251,0,1,0.000143281798840845
"ENSMUSG00000035547",7.16408994204226e-08,-4.40724985179164,0,1,0.000143281798840845
"ENSMUSG00000035067",7.16408994204226e-08,-4.59423493081144,0,1,0.000143281798840845
"ENSMUSG00000071324",7.16408994204226e-08,-4.89061225153125,0,1,0.000143281798840845
"ENSMUSG00000032356",7.16408994204226e-08,-5.15281989803597,0,1,0.000143281798840845
"ENSMUSG00000059142",7.16408994204226e-08,-5.21143861402438,0,1,0.000143281798840845
"ENSMUSG00000025723",7.16408994204226e-08,-5.27102449163786,0,1,0.000143281798840845
"ENSMUSG00000038059",7.16408994204226e-08,-5.28975546791417,0,1,0.000143281798840845
"ENSMUSG00000027188",7.16408994204226e-08,-5.29537099009498,0,1,0.000143281798840845
"ENSMUSG00000027204",7.16408994204226e-08,-5.35026018486154,0,1,0.000143281798840845
"ENSMUSG00000021193",7.16408994204226e-08,-5.54308035297078,0,1,0.000143281798840845
"ENSMUSG00000034227",7.16408994204226e-08,-5.80828428420625,0,1,0.000143281798840845
"ENSMUSG00000030350",7.16408994204226e-08,-6.1656672480099,0,1,0.000143281798840845
"ENSMUSG00000046607",7.16408994204226e-08,-6.53014493714949,0,1,0.000143281798840845
"ENSMUSG00000048612",7.16408994204226e-08,-6.63620452720687,0,1,0.000143281798840845
"ENSMUSG00000026274",7.16408994204226e-08,-6.96171657954665,0,1,0.000143281798840845
"ENSMUSG00000025757",7.16408994204226e-08,-7.04141571541494,0,1,0.000143281798840845
"ENSMUSG00000028402",7.16408994204226e-08,-7.36393858570406,0,1,0.000143281798840845
"ENSMUSG00000029925",7.16408994204226e-08,-7.51715858434814,0,1,0.000143281798840845
"ENSMUSG00000004151",7.16408994204226e-08,-8.16864350112859,0,1,0.000143281798840845
"ENSMUSG00000046352",7.16408994204226e-08,-8.22678148283267,0,1,0.000143281798840845
"ENSMUSG00000039126",7.16408994204226e-08,-8.29453866442186,0,1,0.000143281798840845
"ENSMUSG00000028295",7.16408994204226e-08,-8.86913360443895,0,1,0.000143281798840845
"ENSMUSG00000018648",7.16408994204226e-08,-9.04474399783994,0,1,0.000143281798840845
"ENSMUSG00000049184",7.16408994204226e-08,-9.06559517704051,0,1,0.000143281798840845
"ENSMUSG00000072663",7.16408994204226e-08,-9.36277948880596,0,1,0.000143281798840845
"ENSMUSG00000028572",7.16408994204226e-08,-9.45884812303633,0,1,0.000143281798840845
"ENSMUSG00000030844",7.16408994204226e-08,-10.0896410397948,0,1,0.000143281798840845
"ENSMUSG00000021209",7.16408994204226e-08,-10.3727730523072,0,1,0.000143281798840845
"ENSMUSG00000031090",7.16408994204226e-08,-12.3109367464139,0,1,0.000143281798840845
