"","ensembl_gene_id","p_val","avg_logFC","pct.1(treatment)","pct.2(control)","p_val_adj","mgi_symbol","description"
"1","ENSMUSG00000000056",0.00448067459315772,68.3067816063961,0.238,1,1,"Narf","nuclear prelamin A recognition factor [Source:MGI Symbol;Acc:MGI:1914858]"
"2","ENSMUSG00000000078",0.002241023507975,102.179051758807,0.333,1,1,"Klf6","Kruppel-like factor 6 [Source:MGI Symbol;Acc:MGI:1346318]"
"3","ENSMUSG00000000127",0.462103105881327,215.542937683081,0.238,0.667,1,"Fer","fer (fms/fps related) protein kinase [Source:MGI Symbol;Acc:MGI:105917]"
"4","ENSMUSG00000000184",0.438337693768885,8.22254162795997,0.571,0.833,1,"Ccnd2","cyclin D2 [Source:MGI Symbol;Acc:MGI:88314]"
"5","ENSMUSG00000000194",0.000764780037375317,98.0393334327418,0.667,0.167,1,"Gpr107","G protein-coupled receptor 107 [Source:MGI Symbol;Acc:MGI:2139054]"
"6","ENSMUSG00000000439",0.000285326652349137,129.202175107387,0.048,0.167,0.570653304698274,"Mkrn2","makorin, ring finger protein, 2 [Source:MGI Symbol;Acc:MGI:1914277]"
"7","ENSMUSG00000000560",0.00340617417826059,214.351227212154,0.286,0.25,1,"Gabra2","gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2 [Source:MGI Symbol;Acc:MGI:95614]"
"8","ENSMUSG00000000579",0.0204544370217194,-169.669594953127,0.619,0.333,1,"Dynlt1c","dynein light chain Tctex-type 1C [Source:MGI Symbol;Acc:MGI:3807476]"
"9","ENSMUSG00000000594",0.00100230000674434,153.53063864301,0.333,1,1,"Gm2a","GM2 ganglioside activator protein [Source:MGI Symbol;Acc:MGI:95762]"
"10","ENSMUSG00000000632",0.303242066060967,Inf,0.857,0.833,1,"Sez6","seizure related gene 6 [Source:MGI Symbol;Acc:MGI:104745]"
"11","ENSMUSG00000000693",2.7582968687082e-05,-0.576707528946847,0,0.833,0.055165937374164,"Loxl3","lysyl oxidase-like 3 [Source:MGI Symbol;Acc:MGI:1337004]"
"12","ENSMUSG00000000805",0.000287674831794745,-10.1869556611835,0,0.833,0.57534966358949,"Car4","carbonic anhydrase 4 [Source:MGI Symbol;Acc:MGI:1096574]"
"13","ENSMUSG00000000838",3.74269032964507e-05,193.637345326579,0.429,0.083,0.0748538065929013,"Fmr1","fragile X mental retardation 1 [Source:MGI Symbol;Acc:MGI:95564]"
"14","ENSMUSG00000000861",0.694330219206579,Inf,0.905,0.833,1,"Bcl11a","B cell CLL/lymphoma 11A (zinc finger protein) [Source:MGI Symbol;Acc:MGI:106190]"
"15","ENSMUSG00000000884",5.0345355511773e-08,-205.57588794169,0,1,0.000100690711023546,"Gnb1l","guanine nucleotide binding protein (G protein), beta polypeptide 1-like [Source:MGI Symbol;Acc:MGI:1338057]"
"16","ENSMUSG00000000957",1.0056143703412e-07,-4.66296631555153,0.048,1,0.00020112287406824,"Mmp14","matrix metallopeptidase 14 (membrane-inserted) [Source:MGI Symbol;Acc:MGI:101900]"
"17","ENSMUSG00000000982",5.0345355511773e-08,-8.30034306689947,0,1,0.000100690711023546,"Ccl3","chemokine (C-C motif) ligand 3 [Source:MGI Symbol;Acc:MGI:98260]"
"18","ENSMUSG00000001039",0.0003206780330702,41.1103866402958,0.095,0.167,0.641356066140401,"B9d1","B9 protein domain 1 [Source:MGI Symbol;Acc:MGI:1351471]"
"19","ENSMUSG00000001052",0.102826156727795,103.589233903411,0.286,0.917,1,"Sec24b","Sec24 related gene family, member B (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2139764]"
"20","ENSMUSG00000001056",0.267169444787651,61.9661399852019,0.333,0.5,1,"Nhp2","NHP2 ribonucleoprotein [Source:MGI Symbol;Acc:MGI:1098547]"
"21","ENSMUSG00000001123",5.0345355511773e-08,-1.68415945736875,0,1,0.000100690711023546,"Lgals9","lectin, galactose binding, soluble 9 [Source:MGI Symbol;Acc:MGI:109496]"
"22","ENSMUSG00000001134",2.42223173104956e-05,36.942684420858,0.095,1,0.0484446346209912,"Uxt","ubiquitously expressed prefoldin like chaperone [Source:MGI Symbol;Acc:MGI:1277988]"
"23","ENSMUSG00000001211",1.99923755360099e-05,76.1986697270782,0.286,0.083,0.0399847510720198,"Agpat3","1-acylglycerol-3-phosphate O-acyltransferase 3 [Source:MGI Symbol;Acc:MGI:1336186]"
"24","ENSMUSG00000001313",0.339674838801126,-6.84009930544237,0.048,0.417,1,"Rnd2","Rho family GTPase 2 [Source:MGI Symbol;Acc:MGI:1338755]"
