ensemble_gene_id,SE1,SE2,SE3,CM1,CM2,CM3,SM1,SM2,SM3,CE1,CE2,CE3
ENSMUSG00000102693,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064842,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000051951,58,91,73,51,43,27,67,67,72,42,40,29
ENSMUSG00000102851,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103377,0,0,0,1,0,0,0,0,0,1,0,0
ENSMUSG00000104017,0,1,1,0,0,0,0,0,0,0,0,1
ENSMUSG00000103025,0,0,1,0,0,1,4,1,0,0,0,1
ENSMUSG00000089699,0,0,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000103201,0,0,0,0,0,1,0,0,0,0,0,0
ENSMUSG00000103147,0,1,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000103161,0,1,0,2,2,1,1,1,0,0,0,0
ENSMUSG00000102331,79,55,57,140,56,37,49,83,51,39,46,52
ENSMUSG00000102348,4,6,11,28,17,6,6,9,6,15,4,10
ENSMUSG00000102592,0,0,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000088333,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102343,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025900,0,0,0,2,3,2,1,0,1,1,0,2
ENSMUSG00000102948,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104123,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025902,156,106,154,543,332,177,92,128,146,248,244,268
ENSMUSG00000104238,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102269,0,0,0,1,2,0,1,0,0,0,0,2
ENSMUSG00000096126,0,0,1,3,1,3,1,0,2,0,0,0
ENSMUSG00000103003,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104328,1,0,0,1,1,0,0,0,0,1,1,2
ENSMUSG00000102735,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000098104,7,1,2,7,3,1,2,14,3,6,6,4
ENSMUSG00000102175,0,0,1,1,2,1,0,0,0,1,0,0
ENSMUSG00000088000,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103265,0,0,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000103922,20,15,17,52,30,25,35,31,17,26,29,16
ENSMUSG00000033845,631,441,491,1659,942,635,529,795,540,812,814,787
ENSMUSG00000102275,10,14,12,92,32,23,17,15,19,23,22,37
ENSMUSG00000025903,731,855,656,1703,1028,714,704,828,662,858,831,832
ENSMUSG00000104217,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000033813,1135,1748,1241,1829,1242,1005,1272,1201,1241,1319,1143,1115
ENSMUSG00000062588,8,3,11,3,0,0,4,6,7,6,2,2
ENSMUSG00000103280,20,26,30,18,16,14,20,27,25,16,18,9
ENSMUSG00000002459,253,211,229,638,441,311,169,307,234,361,326,367
ENSMUSG00000091305,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102653,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000085623,0,0,0,1,1,0,0,0,0,0,0,0
ENSMUSG00000091665,0,0,1,3,0,1,1,0,0,1,0,1
ENSMUSG00000033793,3581,3652,3225,5965,3549,2503,2807,3753,3269,3111,2522,2630
ENSMUSG00000104352,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104046,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102907,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025905,7,34,2,15,9,13,5,5,52,64,9,15
ENSMUSG00000103936,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000093015,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103519,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000033774,0,1,0,0,1,0,1,0,1,5,0,0
ENSMUSG00000103090,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025907,1921,2869,2027,3579,2148,1399,2195,2224,1611,1727,1617,1522
ENSMUSG00000090031,111,102,91,381,199,154,100,83,60,164,180,178
ENSMUSG00000087247,0,0,0,0,1,0,0,0,0,0,0,0
ENSMUSG00000103355,0,0,1,1,0,1,1,2,2,1,1,1
ENSMUSG00000102706,0,0,0,0,1,0,0,0,0,0,0,0
ENSMUSG00000103845,6,12,1,10,4,11,6,7,19,8,8,6
ENSMUSG00000033740,1837,2613,1977,3616,2263,1357,2182,2329,1108,1381,1500,1418
ENSMUSG00000103329,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000104385,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102135,15,6,11,28,24,5,5,12,13,10,10,9
ENSMUSG00000103282,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102534,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102213,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103629,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000051285,2048,2724,2172,5564,3287,2059,1951,2224,1827,2518,2509,2427
ENSMUSG00000098201,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103509,1,0,1,6,3,0,2,1,0,2,2,1
ENSMUSG00000048538,3,3,4,2,5,3,5,5,2,3,2,5
ENSMUSG00000103709,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000077244,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102768,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097797,22,9,11,48,28,19,9,21,13,23,19,23
ENSMUSG00000103498,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103067,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102320,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104226,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103903,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103557,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025909,57,195,82,143,83,71,83,79,158,146,81,66
ENSMUSG00000102647,0,1,0,0,0,1,0,0,0,1,0,0
ENSMUSG00000086235,0,0,0,0,1,1,0,0,0,1,0,0
ENSMUSG00000102253,0,0,0,0,0,0,0,0,2,0,0,0
ENSMUSG00000093970,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103884,0,0,0,0,0,0,0,0,1,1,0,0
ENSMUSG00000084353,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103933,5,0,0,1,0,1,0,1,1,2,0,1
ENSMUSG00000076135,0,2,0,1,1,0,0,0,1,0,0,2
ENSMUSG00000086195,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104504,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000066693,0,0,0,0,0,0,0,0,0,0,2,0
ENSMUSG00000102316,0,0,1,0,1,1,0,2,0,1,1,0
ENSMUSG00000103819,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102871,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101571,0,0,0,0,2,0,1,0,0,1,0,0
ENSMUSG00000104428,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102272,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000065625,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103411,0,0,0,1,0,1,2,0,0,0,0,0
ENSMUSG00000061024,626,658,533,1376,834,525,572,665,577,645,529,579
ENSMUSG00000025911,328,433,312,396,223,175,320,332,445,328,170,195
ENSMUSG00000079671,0,4,0,5,5,3,0,0,3,9,2,4
ENSMUSG00000081441,0,4,2,0,1,2,3,1,0,1,2,1
ENSMUSG00000067879,111,182,95,252,165,156,99,94,273,316,176,185
ENSMUSG00000099827,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025912,244,323,252,618,351,182,188,212,170,200,192,198
