"","ensembl_gene_id","p_val","avg_logFC","pct.1(treatment)","pct.2(control)","p_val_adj","mgi_symbol","description"
"1","ENSMUSG00000000056",1.95087225190174e-06,Inf,0.136,1,0.00390174450380348,"Narf","nuclear prelamin A recognition factor [Source:MGI Symbol;Acc:MGI:1914858]"
"2","ENSMUSG00000000078",0.0091467405423588,141.843807612834,0.386,1,1,"Klf6","Kruppel-like factor 6 [Source:MGI Symbol;Acc:MGI:1346318]"
"3","ENSMUSG00000000127",0.730233406193149,Inf,0.136,0.6,1,"Fer","fer (fms/fps related) protein kinase [Source:MGI Symbol;Acc:MGI:105917]"
"4","ENSMUSG00000000184",0.314074297700658,-Inf,0.614,0.8,1,"Ccnd2","cyclin D2 [Source:MGI Symbol;Acc:MGI:88314]"
"5","ENSMUSG00000000194",4.69941524792651e-05,112.702006475967,0.5,0.1,0.0939883049585301,"Gpr107","G protein-coupled receptor 107 [Source:MGI Symbol;Acc:MGI:2139054]"
"6","ENSMUSG00000000439",1.37275768341696e-07,0.431936867605824,0.023,0.9,0.000274551536683391,"Mkrn2","makorin, ring finger protein, 2 [Source:MGI Symbol;Acc:MGI:1914277]"
"7","ENSMUSG00000000579",0.0474896740553482,26.6049044132501,0.477,0.5,1,"Dynlt1c","dynein light chain Tctex-type 1C [Source:MGI Symbol;Acc:MGI:3807476]"
"8","ENSMUSG00000000594",0.450805738928759,Inf,0.659,1,1,"Gm2a","GM2 ganglioside activator protein [Source:MGI Symbol;Acc:MGI:95762]"
"9","ENSMUSG00000000632",0.147441729650756,130.556469628417,0.205,0.4,1,"Sez6","seizure related gene 6 [Source:MGI Symbol;Acc:MGI:104745]"
"10","ENSMUSG00000000693",0.0245099557342374,83.8518953103399,0.045,0.7,1,"Loxl3","lysyl oxidase-like 3 [Source:MGI Symbol;Acc:MGI:1337004]"
"11","ENSMUSG00000000759",0.000300298267296025,105.418800556677,0.205,0.2,0.60059653459205,"Tubgcp3","tubulin, gamma complex associated protein 3 [Source:MGI Symbol;Acc:MGI:2183752]"
"12","ENSMUSG00000000805",2.71549436942449e-11,-27.3214437478099,0.023,1,5.43098873884897e-08,"Car4","carbonic anhydrase 4 [Source:MGI Symbol;Acc:MGI:1096574]"
"13","ENSMUSG00000000838",0.460065011170062,181.305001911982,0.341,0.7,1,"Fmr1","fragile X mental retardation 1 [Source:MGI Symbol;Acc:MGI:95564]"
"14","ENSMUSG00000000861",3.96976435754097e-08,240.8861635577,0.273,0,7.93952871508193e-05,"Bcl11a","B cell CLL/lymphoma 11A (zinc finger protein) [Source:MGI Symbol;Acc:MGI:106190]"
"15","ENSMUSG00000000884",4.33339934632038e-08,190.33946460617,0.091,1,8.66679869264077e-05,"Gnb1l","guanine nucleotide binding protein (G protein), beta polypeptide 1-like [Source:MGI Symbol;Acc:MGI:1338057]"
"16","ENSMUSG00000000957",0.473728133421602,192.053375651813,0.159,0.5,1,"Mmp14","matrix metallopeptidase 14 (membrane-inserted) [Source:MGI Symbol;Acc:MGI:101900]"
"17","ENSMUSG00000000982",1.45015773682317e-10,Inf,0.045,1,2.90031547364633e-07,"Ccl3","chemokine (C-C motif) ligand 3 [Source:MGI Symbol;Acc:MGI:98260]"
